date,_NAME_,SELL,PORT2,PORT3,PORT4,BUY,asyret
25OCT2006,mret,-0.058878944,0.1783882282,0.431119106,0.2510489138,0.7124316666,0.7713106104
26OCT2006,mret,0.9021158304,0.3672747091,0.5280256996,0.6882429552,0.6655402892,-0.236575541
27OCT2006,mret,-0.762872073,-0.739577384,-0.722164453,-0.885265066,-0.769380016,-0.006507944
30OCT2006,mret,0.0057216406,0.0503618833,0.0441545008,0.0172923429,-0.7288014,-0.73452304
31OCT2006,mret,-0.334790197,-0.063885793,-0.002982535,-0.288937845,0.0219508914,0.3567410885
01NOV2006,mret,-0.905116183,-0.756569315,-0.542367145,-0.703626744,-1.039940607,-0.134824424
02NOV2006,mret,0.2784704468,-0.119237459,0.074670135,-0.203628554,-0.058215277,-0.336685724
03NOV2006,mret,-0.2906543,-0.210505526,-0.186018817,0.0179129913,0.5978218023,0.888476102
06NOV2006,mret,1.2121726802,1.109168683,1.1078753971,1.0126077673,1.101776548,-0.110396132
07NOV2006,mret,0.5181293306,0.2210721364,0.2566451283,-0.034334347,0.1397934964,-0.378335834
08NOV2006,mret,-0.304427608,0.1891271977,0.3875207732,0.4047503107,0.7164805971,1.0209082055
09NOV2006,mret,-1.106928127,-0.856217501,-0.599803642,-0.521388514,0.2319119838,1.3388401112
10NOV2006,mret,0.3971559399,0.1664808713,0.3219722565,0.1908348664,-0.237563872,-0.634719812
13NOV2006,mret,0.4590178042,0.1608876574,0.1221215343,0.1808018034,0.1507740867,-0.308243718
14NOV2006,mret,0.5162496307,0.5256128107,0.6253897627,0.9641881698,0.5766053924,0.0603557618
15NOV2006,mret,0.5484092195,0.2432117868,0.1970298558,0.4404433197,0.552393024,0.0039838044
16NOV2006,mret,0.4203869966,0.4256845672,0.4903941637,-0.284245317,-0.799868721,-1.220255718
17NOV2006,mret,-0.324940154,0.0833491488,0.1163784821,0.1425321403,0.5511310919,0.8760712454
20NOV2006,mret,-0.356771712,-0.171330541,-0.137894782,-0.116516328,0.2766325086,0.6334042204
21NOV2006,mret,0.0430480152,0.0064339408,0.0075211026,0.4722451492,0.8278680398,0.7848200246
22NOV2006,mret,0.3628402503,0.2768138418,0.1995678977,0.1060843918,0.5354241503,0.1725839
24NOV2006,mret,-0.077978872,-0.361637095,-0.397890702,-0.302521959,-0.143537872,-0.065558999
27NOV2006,mret,-1.530752223,-1.114920595,-1.264135016,-1.399655204,-1.387603533,0.1431486892
28NOV2006,mret,0.3610152414,0.0679085534,0.2143936997,0.7473769058,0.4234132406,0.0623979993
29NOV2006,mret,0.7620231479,0.8241111975,0.78515294,1.4050426448,1.7213083014,0.9592851536
30NOV2006,mret,0.508310409,0.2254634992,-0.042706367,0.0767998957,0.6104556027,0.1021451937
01DEC2006,mret,-0.384115184,-0.123417142,-0.164583595,-0.065977316,-0.084456748,0.2996584361
04DEC2006,mret,1.3303146222,0.4862900016,1.0729467516,1.2110310676,0.4960463093,-0.834268313
05DEC2006,mret,0.7505585213,0.3792906687,0.5627841933,0.4919585388,0.4382299708,-0.312328551
06DEC2006,mret,0.1759822818,-0.104847118,0.0856524278,-0.22046222,0.1076340454,-0.068348236
07DEC2006,mret,-0.236017019,-0.316155849,-0.183462654,-0.51869997,-0.183091286,0.0529257333
08DEC2006,mret,0.008910891,0.1923469191,0.0201749335,0.0716465586,0.0458029455,0.0368920545
11DEC2006,mret,0.1982835261,0.4274443362,0.1026158928,0.0137794776,0.0398442808,-0.158439245
12DEC2006,mret,-0.431012635,0.0422955086,-0.029099225,-0.003379829,-0.648605989,-0.217593354
13DEC2006,mret,-0.115179986,0.1128646615,-0.045250825,0.4421804362,0.3394436366,0.4546236221
14DEC2006,mret,0.5608586883,0.8819108777,0.6416359074,1.0032668927,0.9194104363,0.358551748
15DEC2006,mret,0.0176282976,0.5917087739,-0.037099385,-0.440201986,-0.082817237,-0.100445535
18DEC2006,mret,-0.002722883,0.1508849151,-0.167599272,-0.833960508,-1.514736429,-1.512013546
19DEC2006,mret,0.3575170958,0.1523378781,0.1025039451,0.5883044396,0.6441984172,0.2866813213
20DEC2006,mret,0.3425928556,-0.015196309,-0.053099875,-0.225773351,-0.718769678,-1.061362533
21DEC2006,mret,-0.329278236,-0.25536497,-0.275075314,-0.387283221,-0.623931895,-0.294653658
22DEC2006,mret,-0.43836672,-0.401205564,-0.313952229,-0.514365655,-0.560262445,-0.121895725
26DEC2006,mret,0.4333721293,0.4698947216,0.3435070766,0.5976551362,0.2618953444,-0.171476785
